,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,7.0,5.0,5.0,7.0,5.0,5.0,7.0,13
1,Digi2,Digi,4.0,1.0,0.0,6.0,2.0,1.0,8.0,13
2,Profit1,Profit,12.0,19.0,28.0,11.0,16.0,24.0,10.0,13
3,Profit2,Profit,23.0,20.0,14.0,21.0,22.0,17.0,18.0,13
4,Profit3,Profit,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13
5,Primus1,Primus,11.0,19.0,27.0,10.0,15.0,22.0,10.0,13
6,Primus2,Primus,10.0,9.0,5.0,10.0,10.0,6.0,9.0,13
7,Primus3,Primus,2.0,1.0,0.0,3.0,1.0,0.0,4.0,13
8,Best1,Best,6.0,7.0,7.0,6.0,7.0,8.0,8.0,13
9,Best2,Best,14.0,14.0,10.0,13.0,15.0,12.0,11.0,13
10,Best3,Best,4.0,1.0,0.0,5.0,2.0,1.0,6.0,13
11,Mikro1,Mikro,3.0,3.0,3.0,3.0,3.0,4.0,3.0,13
12,Mikro2,Mikro,2.0,0.0,0.0,3.0,1.0,0.0,5.0,13
