,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,2","0,5","0,2","0,2","0,2",19
1,Digi2,Digi,"2,5","2,5",25,"1,6","1,6",19
2,Digi3,Digi,"1,0","2,0","2,0","2,0","3,0",19
3,Digi4,Digi,"1,0","2,0","1,0","1,0","1,0",19
4,Profit1,Profit,"0,2","0,2","0,2","0,4","0,2",19
5,Profit2,Profit,"1,6","0,8","1,6","0,8","1,6",19
6,Profit3,Profit,"0,9","2,8","0,9","1,9","2,8",19
7,Profit4,Profit,"1,0","1,0","2,0","1,0","1,0",19
8,Primus1,Primus,"0,2","0,2","0,2","0,4","0,2",19
9,Primus2,Primus,"1,6","0,8","2,5","1,6","0,8",19
10,Primus3,Primus,"2,6","2,6","2,6","2,6","1,8",19
11,Primus4,Primus,"1,0","1,0","2,0","1,0","1,0",19
12,Primus5,Primus,"2,0","1,0","2,0","2,0","1,0",19
13,Best1,Best,"0,2","0,2","0,2","0,5","0,2",19
14,Best2,Best,"1,6","0,8","1,6","0,8","1,6",19
15,Best3,Best,"1,8","2,6","2,6","1,8","0,9",19
16,Best4,Best,"3,0","1,0","3,0","2,0","1,0",19
17,Best5,Best,"2,0","2,0","2,0","2,0","1,0",19
18,Best6,Best,"2,0","1,0","1,0","1,0","1,0",19
19,Mikro1,Mikro,"0,2","0,2","0,2","0,2","0,2",19
20,Mikro2,Mikro,"2,8","2,8","2,8","2,8","2,8",19
