,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,7","2,0","0,7","0,7","0,7",12
1,Digi2,Digi,"3,0","3,0","3,0","1,0","1,0",12
2,Profit1,Profit,"0,7","0,7","0,7","1,4","0,7",12
3,Profit2,Profit,"2,0","1,0","2,0","1,0","1,0",12
4,Profit3,Profit,"1,0","3,0","1,0","1,0","3,0",12
5,Primus1,Primus,"0,7","0,7","0,7","1,4","0,7",12
6,Primus2,Primus,"2,0","1,0","3,0","1,0","1,0",12
7,Primus3,Primus,"3,0","2,0","3,0","2,0","2,0",12
8,Best1,Best,"0,7","0,7","0,7","2,0","0,7",12
9,Best2,Best,"2,0","1,0","2,0","1,0","1,0",12
10,Best3,Best,"2,0","3,0","3,0","2,0","1,0",12
11,Mikro1,Mikro,"0,7","0,7","0,7","0,7","0,7",12
12,Mikro2,Mikro,"3,0","3,0","3,0","3,0","3,0",12
0,Digi1,Digi,"0,8","1,6","0,8","0,8","0,8",10
1,Digi2,Digi,"3,0","3,0","3,0","1,0","1,0",10
2,Profit1,Profit,"0,8","0,8","0,8","1,6","0,8",10
3,Profit2,Profit,"2,0","1,0","2,0","1,0","1,0",10
4,Best1,Best,"0,8","0,8","0,8","2,5","0,8",10
5,Best2,Best,"2,0","1,0","2,0","1,0","1,0",10
6,Mikro1,Mikro,"0,8","0,8","0,8","0,8","0,8",10
0,Digi1,Digi,"0,8",23.0,"0,8","0,8","0,8",11
1,Digi2,Digi,"3,0","3,0","3,0","1,0","1,0",11
2,Profit1,Profit,"0,8","0,8","0,8","1,5","0,8",11
3,Profit2,Profit,"2,0","1,0","2,0","1,0","1,0",11
4,Best1,Best,"0,8","0,8","0,8",23.0,"0,8",11
5,Best2,Best,"2,0","1,0","2,0","1,0","1,0",11
6,Best3,Best,"2,0","3,0","3,0","2,0","1,0",11
7,Mikro1,Mikro,"0,8","0,8","0,8","0,8","0,8",11
0,Digi1,Digi,"0,9","1,8","0,9","0,9","0,9",9
1,Profit1,Profit,"0,9","0,9","0,9","1,8","0,9",9
2,Best1,Best,"0,9","0,9","0,9","1,8","0,9",9
3,Mikro1,Mikro,"0,9","0,9","0,9","0,9","0,9",9
