,Company,1,2,3,4,5,6,Total,Period
0,Digi,5.0,3.0,0.0,0.0,0.0,0.0,8.0,12
1,Profit,7.0,4.0,1.0,0.0,0.0,0.0,12.0,12
2,Primus,14.0,2.0,0.0,0.0,0.0,0.0,16.0,12
3,Best,9.0,5.0,2.0,0.0,0.0,0.0,16.0,12
4,Mikro,6.0,1.0,0.0,0.0,0.0,0.0,7.0,12
0,Digi,8.0,1.0,0.0,0.0,0.0,0.0,9.0,10
1,Profit,4.0,3.0,0.0,0.0,0.0,0.0,7.0,10
2,Primus,23.0,0.0,0.0,0.0,0.0,0.0,24.0,10
3,Best,11.0,2.0,0.0,0.0,0.0,0.0,13.0,10
4,Mikro,9.0,0.0,0.0,0.0,0.0,0.0,9.0,10
0,Digi,6.0,2.0,0.0,0.0,0.0,0.0,7.0,11
1,Profit,10.0,10.0,0.0,0.0,0.0,0.0,20.0,11
2,Primus,18.0,1.0,0.0,0.0,0.0,0.0,19.0,11
3,Best,9.0,3.0,0.0,0.0,0.0,0.0,13.0,11
4,Mikro,6.0,0.0,0.0,0.0,0.0,0.0,6.0,11
0,Digi,6.0,0.0,0.0,0.0,0.0,0.0,6.0,8
1,Profit,13.0,0.0,0.0,0.0,0.0,0.0,13.0,8
2,Primus,16.0,0.0,0.0,0.0,0.0,0.0,16.0,8
3,Best,19.0,0.0,0.0,0.0,0.0,0.0,19.0,8
4,Mikro,12.0,0.0,0.0,0.0,0.0,0.0,12.0,8
0,Digi,8.0,0.0,0.0,0.0,0.0,0.0,8.0,9
1,Profit,16.0,0.0,0.0,0.0,0.0,0.0,16.0,9
2,Primus,25.0,0.0,0.0,0.0,0.0,0.0,25.0,9
3,Best,14.0,0.0,0.0,0.0,0.0,0.0,14.0,9
4,Mikro,6.0,0.0,0.0,0.0,0.0,0.0,6.0,9
