Model,Price,Period
Digi1,1999,12
Digi2,3650,12
Profit1,1650,12
Profit2,2025,12
Profit3,2070,12
Best1,1950,12
Best2,1999,12
Best3,2980,12
Mikro1,1800,12
Mikro2,4 000,12
Digi1,2 000,10
Digi2,3750,10
Profit1,1780,10
Profit2,2 149,10
Best1,1900,10
Best2,2 200,10
Mikro1,1 800,10
Digi1,2100,11
Digi2,3750,11
Profit1,1499,11
Profit2,1799,11
Best1,1950,11
Best2,1999,11
Best3,2980,11
Mikro1,1800,11
Digi1,2450,8
Profit1,1650,8
Best1,1680,8
Mikro1,1800,8
Digi1,1900,9
Profit1,1 800,9
Best1,1 850,9
Mikro1,1 800,9
