,Segment,Size,Period
0,Small income young families,165,12
1,Small income middle-aged families,177,12
2,Small income elderly families,179,12
3,Average income young families,213,12
4,Average income middle-aged families,221,12
5,Average income elderly families,51,12
6,Large income families,396,12
7,Total,1402,12
0,Small income young families,42,10
1,Small income middle-aged families,45,10
2,Small income elderly families,49,10
3,Average income young families,50,10
4,Average income middle-aged families,45,10
5,Average income elderly families,9,10
6,Large income families,57,10
7,Total,297,10
0,Small income young families,144,11
1,Small income middle-aged families,159,11
2,Small income elderly families,169,11
3,Average income young families,170,11
4,Average income middle-aged families,158,11
5,Average income elderly families,34,11
6,Large income families,265,11
7,Total,1099,11
0,Small income young families,36,8
1,Small income middle-aged families,27,8
2,Small income elderly families,32,8
3,Average income young families,52,8
4,Average income middle-aged families,38,8
5,Average income elderly families,8,8
6,Large income families,65,8
7,Total,258,8
0,Small income young families,65,9
1,Small income middle-aged families,68,9
2,Small income elderly families,76,9
3,Average income young families,74,9
4,Average income middle-aged families,61,9
5,Average income elderly families,13,9
6,Large income families,81,9
7,Total,438,9
