Unnamed: 0,Company,1,2,3,4,5,6,sum,Period
0,Digi,300,400,400,O,0,0,1100,15
1,Profit,329,800,400,O,0,0,1529,15
2,Primus,0,500,400,800,O,0,1700,15
3,Best,0,800,800,400,O,0,2000,15
4,Mikro,800,1000,O,0,0,0,1800,15
0,Digi,300,300,O,0,0,0,600,13
1,Profit,329,658,329,O,0,0,1316,13
2,Primus,500,500,400,O,0,0,1400,13
3,Best,400,500,500,O,0,0,1400,13
4,Mikro,500,600,O,0,0,0,1100,13
0,Digi,300,400,400,O,0,0,1100,14
1,Profit,329,658,329,O,0,0,1316,14
2,Primus,400,800,500,O,0,0,1700,14
3,Best,200,800,700,O,0,0,1700,14
4,Mikro,900,1000,O,0,0,0,1900,14
0,Digi,0,400,600,O,0,0,1000,18
1,Profit,0,500,500,700,O,0,1700,18
2,Primus,0,1000,450,900,400,O,2750,18
3,Best,0,800,800,800,500,O,2900,18
4,Mikro,400,900,700,O,0,0,2000,18
0,Digi,0,300,400,200,O,0,900,19
1,Profit,0,400,500,700,O,0,1600,19
2,Primus,0,800,600,800,300,O,2500,19
3,Best,0,400,400,400,400,300,1900,19
4,Mikro,400,900,1000,O,0,0,2300,19
0,Digi,0,400,600,O,0,0,1000,17
1,Profit,0,500,500,600,O,0,1600,17
2,Primus,50,1000,600,900,O,0,2550,17
3,Best,0,800,800,700,400,O,2700,17
4,Mikro,500,1000,600,O,0,0,2100,17
0,Digi,0,400,600,O,0,0,1000,17
1,Profit,0,500,500,600,O,0,1600,17
2,Primus,50,1000,600,900,O,0,2550,17
3,Best,0,800,800,700,400,O,2700,17
4,Mikro,500,1000,600,O,0,0,2100,17
0,Digi,0,100,600,400,O,0,1100,22
1,Profit,0,0,400,700,500,O,1600,22
2,Primus,0,500,300,1000,700,400,2900,22
3,Best,0,200,200,400,500,500,1800,22
4,Mikro,100,1000,1000,O,0,0,2100,22
0,Digi,0,400,600,O,0,0,1000,16
1,Profit,0,900,600,O,0,0,1500,16
2,Primus,0,800,300,400,O,0,1500,16
3,Best,0,700,700,500,O,0,1900,16
4,Mikro,300,700,O,0,0,0,1000,16
0,Digi,0,400,800,400,O,0,1600,20
1,Profit,0,400,500,700,O,0,1600,20
2,Primus,0,1000,700,1000,600,O,3300,20
3,Best,0,500,600,600,500,400,2600,20
4,Mikro,500,1000,1000,O,0,0,2500,20
0,Digi,0,100,600,400,O,0,1100,23
1,Profit,0,50,400,700,500,O,1650,23
2,Primus,0,500,400,800,1000,600,3300,23
3,Best,0,200,200,600,700,800,2500,23
4,Mikro,100,1000,1000,O,0,0,2100,23
0,Digi,0,0,800,500,O,0,1300,21
1,Profit,0,0,500,700,400,O,1600,21
2,Primus,0,800,600,1000,500,O,2900,21
3,Best,0,400,400,600,600,500,2500,21
4,Mikro,500,1000,1000,O,0,0,2500,21
