,Company,1,2,3,4,5,6,Period
0,Digi,61.0,63.0,,,,,12
1,Profit,48.0,52.0,13.0,,,,12
2,Primus,60.0,41.0,15.0,,,,12
3,Best,49.0,38.0,22.0,,,,12
4,Mikro,45.0,46.0,,,,,12
0,Digi,44.0,23.0,,,,,10
1,Profit,56.0,59.0,,,,,10
2,Primus,56.0,5.0,,,,,10
3,Best,46.0,15.0,,,,,10
4,Mikro,30.0,,,,,,10
0,Digi,56.0,55.0,,,,,11
1,Profit,56.0,55.0,,,,,11
2,Primus,62.0,27.0,6.0,,,,11
3,Best,46.0,33.0,6.0,,,,11
4,Mikro,40.0,,,,,,11
0,Digi,52.0,,,,,,8
1,Profit,57.0,,,,,,8
2,Primus,66.0,,,,,,8
3,Best,65.0,,,,,,8
4,Mikro,28.0,,,,,,8
0,Digi,43.0,,,,,,9
1,Profit,64.0,,,,,,9
2,Primus,59.0,,,,,,9
3,Best,55.0,,,,,,9
4,Mikro,24.0,,,,,,9
