,Segment,Size,Period
0,Small income young families,260315.0,12
1,Small income middle-aged families,429097.0,12
2,Small income elderly families,470582.0,12
3,Average income young families,202875.0,12
4,Average income middle-aged families,329842.0,12
5,Average income elderly families,124357.0,12
6,Large income families,227840.0,12
7,Total,2044908.0,12
0,Small income young families,260365.0,10
1,Small income middle-aged families,426793.0,10
2,Small income elderly families,467868.0,10
3,Average income young families,202185.0,10
4,Average income middle-aged families,327298.0,10
5,Average income elderly families,123223.0,10
6,Large income families,225780.0,10
7,Total,2033512.0,10
0,Small income young families,260340.0,11
1,Small income middle-aged families,427945.0,11
2,Small income elderly families,469225.0,11
3,Average income young families,202530.0,11
4,Average income middle-aged families,328570.0,11
5,Average income elderly families,123790.0,11
6,Large income families,226810.0,11
7,Total,2039210.0,11
0,Small income young families,260415.0,8
1,Small income middle-aged families,424489.0,8
2,Small income elderly families,465154.0,8
3,Average income young families,201495.0,8
4,Average income middle-aged families,324754.0,8
5,Average income elderly families,122089.0,8
6,Large income families,223720.0,8
7,Total,2022116.0,8
0,Small income young families,260390.0,9
1,Small income middle-aged families,425641.0,9
2,Small income elderly families,466511.0,9
3,Average income young families,201840.0,9
4,Average income middle-aged families,326026.0,9
5,Average income elderly families,122656.0,9
6,Large income families,224750.0,9
7,Total,2027814.0,9
